Airline,Departure_Airport,Arrival_Airport,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Departure_Hour,Departure_Day,Departure_Weekday,Departure_Month
american airlines,jfk,den,98,on-time,1011,264.5,62,female,medium,family,economy,0,gold,desk,7.3,4.0,45,0,0,window,18,5,1,12
jetblue,sfo,atl,129,on-time,905,438.85,68,male,low,family,economy,1,none,desk,8.0,12.0,10,0,0,middle,5,19,4,4
american airlines,lax,ord,139,on-time,1024,357.3,41,male,medium,family,economy,0,none,mobile app,5.2,15.0,94,0,1,window,13,17,5,6
delta,sfo,jfk,56,delayed,677,491.11,42,male,low,leisure,premium economy,1,none,mobile app,5.0,6.0,45,0,0,middle,16,3,2,4
delta,sfo,dfw,241,cancelled,473,210.19,70,female,medium,leisure,premium economy,0,none,desk,3.2,2.0,102,0,0,middle,11,5,4,4
american airlines,sfo,sfo,189,on-time,718,332.48,30,male,low,business,economy,1,none,online,5.4,12.0,14,0,0,aisle,3,9,5,3
delta,sfo,sea,205,on-time,1403,162.1,45,female,medium,leisure,premium economy,2,none,online,7.3,0.0,68,0,0,window,18,10,5,2
delta,dfw,ord,82,on-time,985,422.69,51,male,medium,emergency,premium economy,0,gold,airport kiosk,5.6,17.0,51,0,0,window,23,5,3,10
american airlines,den,jfk,48,on-time,1118,430.63,76,male,medium,family,business,1,none,mobile app,5.4,11.0,13,0,0,window,16,17,0,3
delta,lax,dfw,248,on-time,1662,689.74,62,female,medium,leisure,economy,0,gold,airport kiosk,4.8,3.0,15,0,0,window,13,22,2,1
southwest,atl,ord,252,delayed,1519,261.12,78,female,high,leisure,premium economy,0,none,online,5.5,2.0,21,0,0,window,0,26,1,11
american airlines,atl,jfk,144,on-time,1190,295.25,52,female,medium,family,economy,0,none,desk,7.9,2.0,99,0,0,aisle,19,24,6,3
united,den,atl,94,on-time,1021,299.86,54,male,high,business,economy,0,none,mobile app,3.4,13.0,103,0,0,middle,9,6,6,8
jetblue,sea,sfo,231,cancelled,670,509.59,60,male,medium,business,economy,1,silver,online,7.7,2.0,66,0,0,middle,6,28,3,3
american airlines,sea,ord,183,on-time,1725,275.48,25,female,high,business,economy,0,silver,online,7.9,3.0,97,0,0,middle,0,7,4,7
united,ord,sea,87,delayed,1446,633.78,73,male,high,business,premium economy,0,silver,mobile app,6.2,2.0,67,0,1,aisle,8,26,2,7
delta,sea,atl,156,on-time,584,307.92,47,female,medium,emergency,business,1,none,airport kiosk,5.3,4.0,116,0,0,middle,20,26,3,12
american airlines,sea,lax,193,on-time,756,495.38,41,female,low,emergency,economy,1,gold,desk,5.7,8.0,85,0,0,window,16,27,3,7
southwest,dfw,dfw,128,on-time,1395,379.26,49,female,low,leisure,premium economy,0,silver,online,5.1,1.0,69,0,0,window,23,30,1,5
united,sfo,sfo,250,on-time,1504,318.07,43,male,medium,business,economy,0,none,airport kiosk,6.7,1.0,72,0,0,window,8,29,3,8
southwest,lax,dfw,163,on-time,1034,365.59,28,male,high,leisure,economy,2,platinum,online,3.9,9.0,43,0,1,aisle,11,22,6,9
delta,den,den,193,on-time,1721,395.32,41,male,medium,business,business,1,none,desk,3.5,8.0,71,0,0,aisle,4,1,2,1
delta,ord,sfo,58,on-time,913,439.6,56,female,medium,emergency,economy,0,none,desk,5.5,21.0,63,0,0,middle,2,28,6,5
southwest,atl,lax,121,on-time,1040,483.98,22,female,medium,business,economy,1,silver,desk,6.3,4.0,109,0,0,window,5,6,1,2
american airlines,dfw,dfw,78,delayed,1478,477.76,20,male,high,business,economy,2,none,mobile app,6.5,5.0,59,0,0,aisle,12,8,5,2
united,atl,ord,222,on-time,1181,267.37,26,male,high,leisure,economy,1,silver,desk,8.1,1.0,111,0,0,middle,11,20,1,6
united,sea,lax,315,on-time,1142,669.5,75,male,low,emergency,first,1,gold,online,6.0,4.0,102,0,0,window,10,22,1,8
southwest,sea,dfw,177,on-time,718,366.69,54,female,high,emergency,economy,2,silver,mobile app,5.1,0.0,111,0,0,window,14,6,5,7
united,sfo,lax,153,on-time,1179,494.95,73,female,low,business,economy,0,silver,desk,7.2,17.0,114,0,1,window,7,19,0,8
jetblue,atl,ord,153,on-time,1286,555.4,24,female,medium,family,business,2,none,online,6.2,5.0,66,0,0,middle,23,30,6,4
delta,ord,lax,195,on-time,1446,313.36,39,male,medium,emergency,economy,1,gold,airport kiosk,5.8,3.0,33,0,0,middle,8,9,1,1
delta,lax,den,169,on-time,1030,347.98,30,female,medium,leisure,economy,3,none,desk,5.3,3.0,20,0,0,window,11,18,0,9
jetblue,den,sea,199,on-time,1541,299.63,65,female,medium,leisure,business,0,silver,mobile app,8.5,10.0,70,0,0,aisle,3,1,3,8
delta,lax,ord,206,on-time,1323,374.78,19,male,high,emergency,economy,3,platinum,desk,6.0,2.0,101,0,0,middle,9,18,6,8
united,sfo,jfk,126,on-time,960,365.67,62,male,medium,family,economy,1,gold,airport kiosk,8.7,16.0,14,0,0,middle,14,14,5,9
southwest,jfk,lax,263,cancelled,1399,307.71,63,male,low,business,premium economy,0,platinum,airport kiosk,7.6,3.0,19,0,0,middle,8,6,5,1
united,lax,sea,119,on-time,1245,437.72,54,male,high,business,premium economy,0,platinum,desk,7.6,5.0,54,0,0,window,20,16,5,11
southwest,sea,ord,115,cancelled,1232,492.52,28,female,medium,family,premium economy,1,platinum,mobile app,8.9,9.0,3,0,0,aisle,11,25,0,12
united,dfw,jfk,140,on-time,1611,240.8,44,male,low,business,premium economy,3,none,airport kiosk,6.2,11.0,43,0,0,window,9,27,2,3
united,jfk,dfw,219,on-time,1560,327.37,28,female,low,family,economy,0,silver,mobile app,6.6,6.0,118,0,0,window,15,6,0,1
jetblue,dfw,ord,122,on-time,1268,425.34,32,male,high,leisure,economy,0,none,mobile app,7.4,28.0,107,0,0,middle,5,7,5,10
jetblue,sea,lax,248,on-time,1598,322.33,59,female,low,business,economy,1,silver,airport kiosk,7.9,1.0,41,0,0,middle,21,6,5,7
united,lax,jfk,251,on-time,1977,346.72,59,male,medium,leisure,premium economy,1,none,mobile app,5.7,9.0,71,0,0,middle,11,15,5,7
delta,den,sea,120,on-time,1633,293.28,40,male,low,leisure,premium economy,0,none,mobile app,6.2,16.0,87,1,0,aisle,6,3,2,1
southwest,jfk,dfw,108,on-time,1463,323.95,21,male,medium,business,premium economy,0,gold,airport kiosk,8.3,3.0,42,0,0,aisle,3,13,5,7
united,sfo,jfk,260,on-time,1406,317.51,33,male,medium,emergency,economy,1,platinum,desk,4.7,2.0,72,1,0,aisle,18,26,3,10
southwest,sea,dfw,162,delayed,1319,316.89,18,female,high,emergency,first,2,none,airport kiosk,5.7,5.0,71,0,0,window,23,12,3,9
southwest,den,jfk,89,delayed,1185,434.06,61,female,high,emergency,economy,0,gold,desk,4.3,16.0,85,0,0,window,20,9,5,9
american airlines,sea,sea,304,on-time,710,229.1,24,female,high,leisure,premium economy,1,none,online,6.4,36.0,65,0,0,aisle,13,29,0,7
american airlines,den,atl,270,delayed,1547,458.78,23,male,medium,emergency,economy,1,none,online,8.1,2.0,66,1,0,aisle,5,14,1,5
jetblue,sfo,atl,253,on-time,1139,337.07,30,female,low,leisure,economy,1,gold,mobile app,7.0,20.0,9,0,1,middle,20,12,0,8
american airlines,ord,den,159,on-time,1065,346.83,58,male,low,business,economy,2,silver,online,6.3,9.0,67,0,0,middle,1,9,5,11
american airlines,atl,ord,289,on-time,939,247.14,35,male,high,emergency,economy,3,silver,desk,8.6,20.0,20,0,0,middle,13,28,4,7
jetblue,den,atl,275,on-time,1576,467.85,65,female,medium,emergency,economy,1,none,desk,4.6,5.0,11,0,0,aisle,11,2,1,4
southwest,atl,lax,156,on-time,785,375.94,60,female,medium,family,premium economy,0,silver,airport kiosk,5.8,24.0,80,0,0,middle,11,14,3,3
jetblue,sea,jfk,183,on-time,465,511.62,69,female,low,family,economy,1,gold,online,6.6,27.0,85,0,0,aisle,11,13,2,9
jetblue,sea,atl,198,cancelled,1389,405.6,60,male,medium,emergency,business,0,gold,desk,8.4,2.0,82,0,1,middle,13,1,4,3
delta,sfo,jfk,168,on-time,1011,393.6,39,female,medium,emergency,premium economy,0,gold,mobile app,5.2,15.0,116,0,0,aisle,22,18,0,9
southwest,sfo,atl,224,on-time,1464,45.67,73,male,low,leisure,economy,2,gold,airport kiosk,6.6,15.0,81,0,0,window,2,19,2,3
american airlines,lax,jfk,85,delayed,1743,343.79,35,male,low,emergency,premium economy,1,platinum,mobile app,8.1,9.0,106,0,0,window,5,8,4,9
southwest,lax,dfw,245,on-time,1366,379.7,70,male,low,emergency,economy,1,gold,online,6.9,19.0,63,0,1,middle,23,9,1,7
united,atl,dfw,210,on-time,1596,406.71,49,male,medium,family,economy,0,none,online,8.6,8.0,24,0,0,middle,14,18,6,8
jetblue,ord,dfw,191,on-time,1148,237.11,75,male,medium,family,economy,4,none,mobile app,8.6,2.0,83,0,0,aisle,21,22,2,1
jetblue,atl,jfk,145,on-time,1318,388.64,70,male,high,emergency,economy,0,silver,airport kiosk,8.5,4.0,66,0,0,aisle,17,13,5,7
united,ord,lax,186,on-time,1647,218.82,20,male,medium,leisure,premium economy,1,gold,desk,5.1,5.0,22,0,0,aisle,21,23,5,3
jetblue,jfk,sea,151,on-time,700,395.33,51,male,medium,emergency,economy,0,none,desk,7.8,2.0,14,0,0,aisle,13,23,5,12
delta,jfk,den,375,on-time,1085,352.96,64,female,high,leisure,economy,1,silver,airport kiosk,5.6,13.0,53,0,0,middle,3,23,2,10
southwest,sea,lax,258,on-time,1026,203.68,64,female,medium,business,economy,0,none,mobile app,8.5,10.0,12,0,1,middle,3,29,5,6
southwest,lax,dfw,165,on-time,1409,443.63,25,male,low,family,economy,0,silver,mobile app,3.8,7.0,116,0,0,aisle,19,23,3,11
southwest,sfo,sfo,114,on-time,1437,359.74,57,female,high,leisure,premium economy,0,silver,mobile app,7.9,4.0,11,0,1,middle,19,29,5,3
jetblue,jfk,atl,167,on-time,939,490.6,47,female,high,family,business,0,none,desk,6.2,7.0,66,0,0,middle,22,16,4,6
southwest,lax,den,96,on-time,1099,502.7,52,male,low,leisure,economy,1,platinum,desk,9.4,4.0,102,0,0,window,18,13,4,12
southwest,dfw,sfo,208,on-time,1174,605.55,60,female,medium,leisure,economy,1,none,airport kiosk,6.1,6.0,81,0,0,window,22,1,5,6
american airlines,den,atl,215,on-time,1348,294.78,35,female,high,leisure,premium economy,3,platinum,desk,9.5,16.0,4,1,0,window,13,6,3,6
american airlines,ord,ord,145,cancelled,794,273.22,37,female,medium,family,business,0,none,mobile app,7.0,23.0,15,0,0,window,0,18,6,8
american airlines,jfk,dfw,168,on-time,1022,339.54,60,male,medium,family,premium economy,0,gold,online,6.0,0.0,15,0,0,middle,15,5,1,9
united,atl,den,104,on-time,1416,437.91,73,male,low,business,economy,0,gold,airport kiosk,7.5,29.0,114,0,0,window,19,5,5,10
delta,sfo,dfw,119,cancelled,1392,592.43,54,female,low,family,economy,2,silver,airport kiosk,9.2,10.0,81,0,0,window,11,30,3,1
jetblue,atl,den,107,on-time,842,453.36,48,female,medium,business,premium economy,1,none,online,10.0,10.0,82,0,0,middle,20,15,3,2
southwest,sea,sea,85,on-time,1242,264.69,54,male,low,emergency,economy,1,silver,airport kiosk,7.6,0.0,62,0,1,aisle,18,17,0,3
delta,sfo,den,79,on-time,878,487.36,38,female,low,leisure,economy,2,silver,desk,7.3,10.0,58,1,0,window,10,31,1,12
delta,sfo,sea,77,on-time,1650,241.44,48,male,medium,business,business,1,none,desk,6.7,9.0,95,0,0,aisle,0,11,5,5
southwest,jfk,jfk,200,on-time,1697,359.32,29,male,medium,business,premium economy,2,none,online,6.6,5.0,26,0,0,aisle,15,15,5,2
jetblue,lax,ord,203,on-time,978,344.91,48,female,low,business,premium economy,1,gold,online,4.7,5.0,6,0,1,middle,0,7,2,6
american airlines,ord,atl,166,on-time,1043,383.67,47,male,medium,business,economy,1,silver,mobile app,6.5,34.0,32,0,0,middle,15,11,1,7
jetblue,dfw,sfo,327,on-time,1351,264.49,45,male,low,emergency,first,3,platinum,airport kiosk,9.7,4.0,53,0,0,middle,18,24,1,9
delta,jfk,atl,182,on-time,641,484.02,71,male,low,emergency,premium economy,0,none,desk,8.2,12.0,52,0,0,aisle,19,26,2,6
jetblue,ord,dfw,262,on-time,1699,436.16,72,female,medium,leisure,economy,1,none,desk,8.1,2.0,70,0,0,aisle,8,25,6,6
delta,jfk,lax,213,on-time,1114,475.44,21,female,low,business,economy,1,none,airport kiosk,7.4,2.0,45,0,0,window,13,18,3,5
jetblue,atl,dfw,258,on-time,1484,294.06,72,female,medium,family,economy,2,platinum,online,7.5,8.0,80,0,0,window,21,3,4,5
delta,atl,jfk,189,on-time,1295,311.1,59,female,low,leisure,economy,3,silver,desk,6.8,2.0,46,0,0,aisle,20,28,4,4
jetblue,den,ord,262,on-time,1021,439.46,65,female,medium,leisure,economy,0,gold,online,9.0,10.0,59,0,0,window,1,26,1,3
southwest,sea,jfk,248,on-time,1269,408.18,41,male,low,business,economy,3,none,online,9.8,0.0,46,0,0,aisle,4,30,6,3
southwest,den,lax,165,on-time,1492,252.84,66,female,medium,business,economy,0,none,online,7.7,18.0,92,0,0,window,8,22,3,6
delta,dfw,ord,122,on-time,1157,465.88,77,female,low,emergency,premium economy,0,platinum,desk,6.6,9.0,116,0,0,middle,4,21,1,1
american airlines,sea,jfk,80,on-time,1547,634.37,66,female,medium,emergency,economy,4,silver,desk,4.0,15.0,25,0,0,middle,1,8,1,4
jetblue,ord,sea,181,on-time,1033,645.47,19,male,medium,business,premium economy,1,none,airport kiosk,7.0,24.0,21,0,0,aisle,9,25,1,4
southwest,lax,den,175,on-time,704,415.45,33,male,high,family,economy,1,none,online,6.4,10.0,29,0,0,middle,15,10,3,4
united,dfw,sfo,168,on-time,1281,227.77,24,male,medium,family,economy,2,none,airport kiosk,6.3,1.0,100,0,0,window,8,23,5,12
southwest,ord,jfk,184,on-time,1187,291.77,54,female,medium,family,business,1,gold,desk,6.4,6.0,89,0,0,middle,3,1,4,3
southwest,ord,lax,156,on-time,660,435.95,68,male,low,family,premium economy,2,silver,online,7.4,9.0,28,0,0,aisle,13,23,1,5
united,ord,atl,214,delayed,859,160.67,33,male,high,family,economy,0,gold,desk,6.4,2.0,29,0,0,aisle,21,17,4,11
american airlines,atl,sfo,125,on-time,696,424.16,39,male,high,emergency,business,3,gold,desk,7.7,24.0,117,0,0,window,11,18,0,11
southwest,lax,jfk,172,cancelled,969,454.11,76,female,high,family,economy,0,none,online,6.4,8.0,11,0,0,middle,4,25,3,5
delta,den,lax,100,on-time,1348,341.9,53,female,high,emergency,economy,2,none,mobile app,7.4,11.0,93,0,1,aisle,8,14,0,4
jetblue,den,lax,272,on-time,1888,384.56,47,female,low,business,economy,4,none,mobile app,9.6,8.0,118,0,0,window,12,19,0,2
jetblue,sfo,sea,220,on-time,1478,417.59,64,male,low,business,business,2,gold,desk,5.3,5.0,63,0,0,middle,0,21,4,7
united,dfw,sfo,190,on-time,955,437.24,69,male,medium,emergency,economy,1,silver,online,9.2,2.0,77,0,0,middle,21,15,4,9
united,atl,jfk,145,on-time,880,214.49,37,female,medium,family,economy,0,none,mobile app,6.2,7.0,37,0,0,middle,17,20,5,7
united,jfk,dfw,156,on-time,1298,335.52,30,male,low,leisure,economy,1,silver,mobile app,6.0,1.0,64,0,0,window,21,26,0,6
american airlines,lax,jfk,244,on-time,1202,376.52,63,female,high,family,first,2,none,mobile app,6.2,3.0,4,0,0,middle,20,30,1,4
united,sea,sfo,120,on-time,1426,369.47,21,male,high,leisure,business,0,silver,desk,7.1,47.0,53,1,0,middle,23,3,4,11
jetblue,den,ord,203,cancelled,938,361.04,41,female,medium,emergency,economy,2,none,desk,8.0,2.0,85,0,0,window,15,28,1,5
delta,den,sfo,202,delayed,968,347.3,35,female,low,leisure,economy,2,none,online,8.4,14.0,64,0,1,aisle,15,4,1,2
american airlines,den,atl,114,cancelled,1517,135.19,24,male,medium,leisure,premium economy,0,none,online,7.7,10.0,32,0,0,aisle,5,20,1,6
american airlines,sea,ord,233,cancelled,899,422.83,38,male,medium,emergency,economy,0,none,airport kiosk,7.3,14.0,12,0,0,window,9,4,3,7
delta,ord,lax,210,cancelled,1051,324.39,61,female,high,emergency,economy,2,silver,online,7.2,1.0,5,0,0,middle,9,18,0,3
american airlines,lax,den,245,on-time,1008,354.02,72,female,medium,emergency,premium economy,2,silver,mobile app,7.3,3.0,62,0,0,aisle,5,29,4,12
united,den,lax,238,on-time,1198,271.91,68,male,medium,emergency,economy,0,none,online,6.6,4.0,62,0,0,aisle,3,15,0,5
american airlines,sea,sfo,194,on-time,1118,336.31,67,female,medium,emergency,economy,2,gold,desk,4.1,9.0,6,0,0,aisle,23,30,5,12
united,lax,sfo,46,on-time,230,291.58,46,male,low,emergency,economy,0,silver,desk,7.5,5.0,100,0,0,middle,21,6,5,1
united,sfo,dfw,158,on-time,1136,503.04,77,female,medium,leisure,first,3,none,online,8.2,1.0,48,0,0,middle,4,26,4,5
united,lax,dfw,169,on-time,535,280.0,39,female,medium,business,business,2,none,mobile app,6.1,6.0,88,0,0,aisle,3,20,5,7
american airlines,jfk,dfw,146,delayed,1539,406.28,53,male,medium,family,economy,1,none,desk,8.8,0.0,79,0,1,aisle,3,11,1,6
southwest,jfk,jfk,155,on-time,750,324.17,41,female,medium,family,business,2,gold,airport kiosk,6.7,2.0,54,1,0,window,10,18,2,9
southwest,atl,atl,128,cancelled,1147,361.46,34,male,medium,business,first,1,none,desk,5.4,5.0,115,0,0,window,11,10,5,8
united,dfw,den,177,on-time,1765,346.07,61,male,low,emergency,economy,1,none,desk,6.7,0.0,95,0,0,window,10,15,4,11
jetblue,dfw,sfo,87,on-time,919,367.32,47,female,medium,emergency,economy,0,none,mobile app,5.9,8.0,53,0,1,window,7,17,3,4
american airlines,den,atl,185,on-time,1260,390.26,60,male,medium,business,economy,3,gold,airport kiosk,8.5,14.0,81,0,0,window,1,27,4,9
southwest,sea,sfo,273,delayed,987,527.28,70,female,medium,family,economy,2,silver,desk,6.2,3.0,100,0,0,middle,16,11,2,10
southwest,jfk,den,130,on-time,1061,457.38,46,male,low,leisure,economy,1,silver,online,7.0,3.0,111,1,1,window,0,15,3,8
american airlines,sfo,atl,184,on-time,1073,415.04,48,female,medium,leisure,business,0,none,desk,7.4,3.0,85,0,0,middle,18,20,1,2
delta,sfo,sfo,207,on-time,1343,402.84,56,male,low,emergency,economy,1,none,airport kiosk,9.1,1.0,35,0,0,window,19,19,4,4
delta,jfk,den,184,on-time,248,185.55,19,female,medium,emergency,business,0,none,mobile app,7.7,5.0,106,0,0,window,2,7,1,11
american airlines,sea,sfo,165,on-time,1601,328.24,61,male,medium,business,economy,0,none,online,8.1,6.0,8,0,0,middle,7,26,0,2
jetblue,atl,sea,226,on-time,1240,272.15,61,female,low,leisure,premium economy,2,silver,desk,5.3,16.0,66,0,0,middle,23,23,0,12
delta,sfo,ord,101,on-time,1358,275.11,57,female,high,leisure,first,0,silver,online,1.6,3.0,11,0,1,middle,13,2,6,7
american airlines,den,sea,284,delayed,1154,239.42,19,male,low,family,premium economy,1,silver,online,8.3,5.0,5,0,0,aisle,0,23,2,8
american airlines,atl,sfo,187,on-time,1698,194.52,28,male,low,business,premium economy,2,none,online,7.1,12.0,36,0,1,aisle,9,23,0,10
jetblue,sfo,lax,149,on-time,1227,379.05,18,female,low,leisure,business,0,none,online,6.3,3.0,49,0,0,middle,9,11,0,12
southwest,sea,ord,226,on-time,1377,448.52,18,female,medium,emergency,economy,0,platinum,airport kiosk,5.9,23.0,118,1,0,window,13,20,1,2
united,jfk,den,85,on-time,1344,344.47,77,male,medium,leisure,economy,0,platinum,online,8.0,9.0,95,0,0,window,8,6,4,10
jetblue,dfw,atl,156,on-time,1890,280.36,22,male,high,business,premium economy,2,gold,online,5.8,8.0,118,0,0,middle,22,10,0,2
southwest,lax,den,200,on-time,1247,359.12,48,female,high,family,business,2,silver,airport kiosk,5.2,10.0,78,0,0,middle,13,28,5,12
united,den,jfk,220,delayed,928,413.04,41,male,high,business,economy,1,platinum,airport kiosk,8.0,2.0,9,0,0,middle,0,18,1,3
southwest,dfw,sea,166,on-time,1184,250.6,63,male,medium,emergency,premium economy,1,none,desk,7.0,23.0,91,0,0,middle,19,13,0,5
southwest,ord,ord,69,on-time,795,256.99,36,female,medium,family,economy,0,silver,desk,8.0,3.0,108,0,0,middle,5,14,5,9
american airlines,jfk,ord,201,on-time,1450,271.7,73,male,medium,leisure,premium economy,0,none,desk,7.2,21.0,60,0,0,aisle,4,12,1,12
united,den,sea,147,on-time,854,214.68,24,male,medium,emergency,premium economy,1,silver,airport kiosk,5.0,5.0,29,0,0,aisle,3,21,3,11
southwest,sea,sea,176,on-time,1416,293.69,66,female,medium,leisure,premium economy,0,none,online,5.1,4.0,72,0,0,middle,6,2,4,2
delta,jfk,den,77,cancelled,1494,250.25,65,male,medium,business,economy,1,silver,airport kiosk,7.4,3.0,77,0,0,window,23,6,5,5
southwest,atl,sfo,226,on-time,983,547.49,47,male,high,leisure,premium economy,0,silver,online,7.2,1.0,18,0,0,aisle,15,21,5,12
southwest,ord,sfo,142,on-time,1018,319.57,31,male,medium,business,business,1,silver,online,8.1,0.0,55,0,0,middle,6,28,5,10
southwest,sfo,ord,134,on-time,1560,309.83,51,male,medium,business,business,2,gold,online,9.0,0.0,16,0,1,aisle,13,8,5,2
delta,sea,atl,200,on-time,1056,353.42,48,male,low,family,first,2,none,airport kiosk,5.7,9.0,119,0,0,middle,5,5,2,6
american airlines,lax,jfk,54,on-time,847,317.45,24,female,low,emergency,economy,3,none,airport kiosk,6.0,0.0,57,0,0,aisle,4,8,6,12
southwest,atl,atl,148,on-time,1222,227.76,78,female,low,family,premium economy,0,silver,online,7.2,31.0,18,0,0,aisle,8,31,4,5
jetblue,atl,lax,171,on-time,1412,397.31,39,male,low,emergency,business,0,none,mobile app,6.1,10.0,71,0,0,window,20,2,1,4
united,sfo,sea,183,on-time,1634,389.36,54,female,medium,family,economy,2,none,online,7.9,12.0,93,0,0,aisle,12,11,4,10
american airlines,atl,lax,275,cancelled,1467,232.24,79,female,low,emergency,economy,2,silver,mobile app,6.3,11.0,17,0,0,window,19,23,6,7
american airlines,sfo,atl,88,on-time,1267,485.64,19,female,low,emergency,business,0,silver,online,7.5,2.0,18,0,0,middle,2,11,5,11
southwest,lax,lax,180,on-time,937,378.07,68,male,medium,family,premium economy,0,none,desk,3.5,15.0,110,0,0,aisle,18,13,1,8
united,ord,sfo,196,on-time,1047,157.86,27,female,medium,family,economy,2,silver,online,6.6,1.0,70,1,0,aisle,16,1,3,2
delta,lax,sfo,247,on-time,846,345.8,21,male,medium,family,business,1,platinum,online,9.6,7.0,60,1,1,middle,14,12,6,11
southwest,atl,jfk,204,delayed,1854,340.81,66,male,medium,business,economy,0,none,mobile app,10.0,20.0,85,0,0,middle,12,15,3,6
delta,ord,sfo,66,on-time,1193,378.38,48,male,low,business,economy,0,none,online,7.3,23.0,30,0,0,aisle,12,5,0,2
american airlines,jfk,den,223,on-time,1692,320.69,76,male,low,emergency,economy,0,silver,mobile app,6.4,8.0,112,0,1,window,17,15,3,6
american airlines,jfk,atl,143,cancelled,808,502.32,36,male,medium,business,economy,0,silver,mobile app,4.4,0.0,9,0,0,aisle,2,13,1,6
southwest,atl,jfk,212,on-time,1368,471.72,68,female,low,family,economy,2,none,desk,6.9,13.0,107,1,0,window,0,9,6,6
jetblue,sfo,lax,117,on-time,1069,336.66,18,male,high,emergency,economy,5,none,airport kiosk,5.8,19.0,36,0,0,aisle,22,19,4,1
american airlines,ord,sea,62,on-time,725,606.7,28,male,high,leisure,economy,0,none,desk,5.0,22.0,4,0,0,window,12,28,1,11
united,lax,sfo,184,on-time,927,311.9,74,female,medium,leisure,economy,2,none,online,7.7,0.0,12,0,0,window,20,20,2,11
united,atl,den,184,on-time,1954,333.74,51,male,medium,family,business,0,none,online,7.7,1.0,8,0,0,middle,14,7,4,2
american airlines,lax,lax,249,delayed,1104,351.82,67,female,low,emergency,economy,0,silver,airport kiosk,6.0,0.0,81,0,0,window,23,20,0,1
southwest,lax,sea,197,delayed,1069,351.59,75,male,medium,family,first,0,gold,airport kiosk,6.0,11.0,71,0,0,middle,17,8,5,3
delta,atl,sea,201,on-time,1272,241.53,21,female,low,family,premium economy,1,silver,airport kiosk,4.1,6.0,12,1,1,window,3,28,0,10
united,ord,jfk,176,on-time,1383,362.56,27,male,high,leisure,first,1,none,mobile app,6.0,3.0,100,0,0,middle,18,11,0,9
jetblue,sea,ord,244,cancelled,940,452.69,24,male,low,emergency,premium economy,0,none,online,7.8,18.0,81,0,0,middle,16,3,1,9
united,den,sea,223,on-time,1354,122.97,65,male,medium,leisure,premium economy,1,none,airport kiosk,5.1,0.0,18,0,0,aisle,9,12,3,12
jetblue,sfo,ord,126,on-time,1002,538.09,67,female,medium,emergency,economy,1,platinum,online,6.8,9.0,26,0,0,middle,19,25,1,7
southwest,sea,sea,197,on-time,1877,239.52,70,female,medium,family,economy,2,platinum,mobile app,6.3,4.0,2,0,0,window,13,27,2,12
united,sea,lax,141,on-time,1471,230.15,43,male,medium,business,economy,0,silver,desk,4.8,37.0,54,0,1,middle,20,18,4,4
delta,ord,den,156,on-time,1206,269.2,59,male,medium,business,economy,0,none,airport kiosk,8.6,11.0,75,0,0,aisle,21,5,4,7
southwest,dfw,dfw,233,delayed,957,388.4,52,female,high,family,economy,1,gold,desk,3.4,14.0,97,0,0,aisle,17,13,0,11
southwest,den,atl,240,on-time,855,338.98,21,male,low,business,economy,0,none,online,8.2,12.0,16,0,0,window,2,3,1,10
delta,lax,atl,315,cancelled,1316,341.29,67,female,medium,business,economy,3,silver,online,6.8,10.0,39,0,0,window,17,3,5,6
delta,den,den,214,on-time,1396,351.62,27,male,low,business,business,0,silver,desk,6.8,11.0,79,0,0,middle,2,14,6,4
united,ord,atl,183,cancelled,1057,264.48,64,female,low,emergency,premium economy,1,gold,online,7.4,7.0,97,0,0,window,0,14,0,8
jetblue,lax,dfw,272,delayed,1143,301.92,64,male,high,family,economy,0,none,desk,6.1,31.0,19,0,0,middle,5,5,5,4
delta,sfo,dfw,179,on-time,1099,398.45,57,male,medium,business,business,1,gold,desk,4.3,2.0,104,0,0,middle,15,25,5,1
united,ord,dfw,173,on-time,718,-14.92,76,female,high,emergency,economy,4,platinum,airport kiosk,5.4,6.0,17,0,0,window,4,28,0,8
american airlines,atl,dfw,247,on-time,884,460.77,52,male,medium,family,economy,0,gold,online,8.9,3.0,18,0,0,aisle,4,16,0,10
american airlines,dfw,sfo,159,on-time,1370,332.7,75,female,low,family,premium economy,1,silver,mobile app,4.6,11.0,111,0,0,window,5,11,3,7
southwest,dfw,den,165,on-time,964,91.63,55,female,high,emergency,economy,1,silver,airport kiosk,6.2,2.0,3,0,0,middle,8,25,5,11
delta,lax,dfw,115,delayed,1015,379.06,72,female,high,business,economy,2,gold,airport kiosk,3.9,12.0,71,0,0,aisle,22,6,2,11
southwest,dfw,lax,22,on-time,1697,379.09,44,female,medium,family,economy,2,none,airport kiosk,4.3,12.0,82,0,0,middle,13,7,3,11
delta,atl,lax,220,on-time,1660,138.28,25,female,high,family,economy,1,none,airport kiosk,8.6,10.0,101,0,0,window,15,26,4,1
united,sea,atl,190,on-time,995,565.04,43,male,medium,emergency,premium economy,5,none,airport kiosk,10.0,9.0,87,0,1,window,3,26,1,11
